course_code,prerequisite_code
CS180,MATH116
CS239,MATH117
CS245,CS146
CS270,CS180
CS290,CS180
CS290,MATH117
CS299,CS180
CS301,CS180
CS301,CS170
CS301,CS146
CS301,CS239
CS315,CS290
CS325,CS290
CS331,CS290
CS339,CS290
CS339,MATH136
CS351,CS290
CS360,CS331
CS360,CS351
CS360,COMM145
CS372,CS290
CS381,CS290
CS382,CS290
CS389,CS351
CS396,CS351
CS396,CS331
CS396,COMM145
CS396,ENG300
CS405,MATH137
CS405,CS146
CS405,CS180
CS406,MATH307
CS406,MATH237
CS406,MATH331
CS406,MATH405
CS406,CS405
CS421,CS339
CS421,CS331
CS421,STAT301
CS425,CS325
CS425,CS382
CS443,CS331
CS443,CS351
CS445,CS425
CS446,MATH307
CS446,CS331
CS450,CS325
CS450,CS381
CS456,CS331
CS456,CS339
CS473,MATH307
CS473,MATH310
CS476,CS360
CS496,CS360
CS496,CS396
